X,Y,Z,Normal_X,Normal_Y,Normal_Z,Feed_Rate,Is_Rapid
-142.777455,9.877429,-90.771677,-0.219043,0.086627,-0.971862,50.00,False
-142.984094,10.074637,-88.108946,-0.260371,0.126068,-0.957243,50.00,False
-143.243123,11.281538,-85.352568,-0.312176,0.221282,-0.923894,50.00,False
-143.243123,10.550704,-82.762933,-0.312176,0.221282,-0.923894,50.00,False
-143.574548,10.494099,-80.061276,-0.378461,0.209960,-0.901490,50.00,False
-143.574548,10.494099,-77.471641,-0.378461,0.209960,-0.901490,50.00,False
-143.574548,10.494099,-74.882007,-0.378461,0.209960,-0.901490,50.00,False
-143.574548,10.494099,-72.292372,-0.378461,0.209960,-0.901490,50.00,False
-144.019567,9.569421,-69.501198,-0.467465,0.199606,-0.861182,50.00,False
-144.019567,11.322346,-66.911563,-0.467465,0.199606,-0.861182,50.00,False
-144.673489,11.509839,-63.843157,-0.598250,0.237104,-0.765427,50.00,False
-145.465867,8.874900,-60.680930,-0.756725,0.060701,-0.650909,50.00,False
-145.465867,10.627826,-58.091295,-0.756725,0.060701,-0.650909,50.00,False
-145.465867,10.627826,-55.501660,-0.756725,0.060701,-0.650909,50.00,False
-145.616118,11.399703,-52.550259,-0.786775,0.215077,-0.578556,50.00,False
-145.723606,11.254689,-49.861014,-0.808273,0.186074,-0.558633,50.00,False
-145.504537,12.389985,-46.952698,-0.764459,0.413133,-0.494897,50.00,False
-146.207504,11.371205,-43.721269,-0.905053,0.215707,-0.366538,50.00,False
-146.470562,10.951848,-40.578580,-0.957664,0.131836,-0.255927,50.00,False
-146.653608,10.685720,-37.071283,-0.994273,0.078610,-0.072395,50.00,False
-146.665011,8.977751,-34.202619,-0.996554,0.081272,-0.016589,50.00,False
-146.626650,9.724134,-31.080973,-0.988882,0.118518,0.089813,50.00,False
-146.243811,10.492690,-27.410907,-0.912314,0.272229,0.305899,50.00,False
-146.088468,10.375712,-24.341488,-0.881245,0.248834,0.401856,50.00,False
-146.191725,9.828091,-21.716783,-0.901897,0.139309,0.408870,50.00,False
-137.944592,10.702219,-19.588765,0.747530,0.583950,0.316547,50.00,False
-138.212344,9.391212,-16.345622,0.693979,0.564235,0.447249,50.00,False
-143.398843,8.447467,-20.443534,-0.343320,0.299278,-0.890260,50.00,False
-143.658858,8.173779,-17.706199,-0.395323,0.320748,-0.860721,50.00,False
-143.956122,8.781792,-14.872265,-0.454776,0.366143,-0.811861,50.00,False
-144.398064,8.693944,-12.042583,-0.543164,0.348574,-0.763851,50.00,False
-144.677899,8.907478,-8.834836,-0.599132,0.480779,-0.640229,50.00,False
-144.741748,9.969232,-4.948971,-0.611901,0.693130,-0.380983,50.00,False
-144.884689,9.891432,-1.470444,-0.640490,0.740595,-0.203204,50.00,False
-145.074619,9.806098,2.771170,-0.678475,0.723528,0.127192,50.00,False
-144.948815,8.586690,6.895160,-0.653315,0.620298,0.434063,50.00,False
-144.373205,8.578227,10.482694,-0.538193,0.555739,0.633643,50.00,False
-144.037803,6.882559,14.179438,-0.471112,0.216605,0.855065,50.00,False
