X,Y,Z,Normal_X,Normal_Y,Normal_Z,Feed_Rate,Is_Rapid
-142.621414,58.743109,-84.729747,-0.198031,0.942806,0.268141,50.00,False
-142.620191,57.787285,-81.789430,-0.197786,0.920387,0.337297,50.00,False
-142.582318,56.601980,-78.865913,-0.190212,0.895174,0.403093,50.00,False
-142.506718,55.189742,-75.966033,-0.175092,0.868273,0.464161,50.00,False
-142.393305,53.557310,-73.095527,-0.152409,0.840858,0.519354,50.00,False
-142.242754,51.716187,-70.259108,-0.122299,0.814079,0.567730,50.00,False
-142.056421,49.683440,-67.460709,-0.085032,0.788983,0.608502,50.00,False
-141.836351,47.482677,-64.703918,-0.041018,0.766484,0.640953,50.00,False
-141.585633,45.144907,-61.992186,0.009125,0.747329,0.664391,50.00,False
-141.309014,42.708967,-59.328864,0.064449,0.732094,0.678148,50.00,False
-141.013834,40.220858,-56.716645,0.123485,0.721151,0.681684,50.00,False
-140.711091,37.731178,-54.156141,0.184034,0.714614,0.674877,50.00,False
-140.415816,35.289778,-51.643417,0.243089,0.712227,0.658514,50.00,False
-140.145539,32.937285,-49.167142,0.297144,0.713202,0.634861,50.00,False
-139.914569,30.694894,-46.707973,0.343338,0.716041,0.607787,50.00,False
-139.723660,28.558866,-44.245748,0.381520,0.718683,0.581324,50.00,False
-139.552983,26.512848,-41.777477,0.415655,0.719734,0.556070,50.00,False
-139.379216,24.563808,-39.328655,0.450409,0.720750,0.526927,50.00,False
-139.215399,22.763485,-36.922711,0.483172,0.726099,0.489208,50.00,False
-139.102224,21.158464,-34.536256,0.505807,0.737442,0.447591,50.00,False
-139.037965,19.736491,-32.138814,0.518659,0.751258,0.408172,50.00,False
-138.999250,18.486251,-29.748059,0.526402,0.766751,0.367415,50.00,False
-139.012384,17.429160,-27.358639,0.523775,0.786847,0.326391,50.00,False
-139.099757,16.525534,-24.893196,0.506300,0.808280,0.300572,50.00,False
-139.203254,15.633221,-22.284767,0.485601,0.819860,0.303350,50.00,False
-139.207421,14.593965,-19.572654,0.484768,0.811270,0.326865,50.00,False
-139.026393,13.345633,-16.892606,0.520973,0.781200,0.343967,50.00,False
-138.656639,11.950760,-14.386576,0.594924,0.734586,0.326265,50.00,False
-138.167872,10.550640,-12.132985,0.692677,0.673495,0.258075,50.00,False
-137.660373,9.311825,-10.137675,0.794177,0.591756,0.138229,50.00,False
-137.263379,8.517899,-8.421790,0.873576,0.485241,-0.037502,50.00,False
-137.701646,7.925980,-3.397274,0.785923,0.425651,0.448494,50.00,False
-138.190344,2.332691,0.320912,0.688183,0.270508,0.673223,50.00,False
-145.160741,7.261523,-3.340119,-0.705896,0.409576,-0.577891,50.00,False
-141.306623,4.870918,-1.953067,0.064927,0.569550,-0.819388,50.00,False
-139.160165,2.306758,8.505876,0.494219,0.433586,0.753493,50.00,False
-138.834193,3.414802,3.431069,0.559413,0.279409,-0.780377,50.00,False
-138.530735,9.550057,6.813517,0.620105,0.477071,-0.622795,50.00,False
-139.066810,13.202291,9.306402,0.512890,0.568624,-0.643126,50.00,False
-139.191799,16.254669,12.274569,0.487892,0.662482,-0.568400,50.00,False
-139.026795,18.459142,15.424439,0.520893,0.720775,-0.457334,50.00,False
-138.808801,19.999860,18.488088,0.564492,0.741086,-0.363512,50.00,False
-138.636296,21.154225,21.393027,0.598993,0.741854,-0.301432,50.00,False
-138.539786,22.132221,24.192278,0.618295,0.741523,-0.260489,50.00,False
-138.510637,23.015399,27.004970,0.624124,0.750627,-0.216859,50.00,False
-138.512323,23.735102,29.961470,0.623787,0.768127,-0.144467,50.00,False
-138.495639,24.095061,33.111491,0.627124,0.778204,-0.033370,50.00,False
-138.425706,23.916971,36.317724,0.641111,0.762274,0.088969,50.00,False
-138.295346,23.244476,39.342730,0.667183,0.724031,0.175062,50.00,False
-138.125651,22.324587,42.070698,0.701122,0.683905,0.201748,50.00,False
-137.957618,21.429699,44.534719,0.734728,0.655228,0.175644,50.00,False
-137.830508,20.759968,46.818813,0.760150,0.639748,0.113555,50.00,False
-137.767394,20.429831,49.001081,0.772773,0.633920,0.031101,50.00,False
-137.773990,20.484810,51.140676,0.771454,0.633461,-0.059888,50.00,False
-137.843572,20.925710,53.278510,0.757537,0.635033,-0.151229,50.00,False
-137.962887,21.729737,55.440300,0.733674,0.636540,-0.237779,50.00,False
-138.117042,22.864860,57.639799,0.702843,0.636912,-0.316787,50.00,False
-138.292668,24.297891,59.882266,0.667718,0.635789,-0.387201,50.00,False
-138.479326,25.998126,62.167562,0.630387,0.633220,-0.449050,50.00,False
-138.669629,27.938482,64.492702,0.592326,0.629454,-0.502930,50.00,False
-134.860184,24.229821,64.245878,0.554215,0.622749,-0.552294,200.00,True
-134.860184,24.229821,64.245878,0.554215,0.622749,-0.552294,50.00,False
-134.651743,22.058879,61.903463,0.595903,0.626918,-0.501870,50.00,False
-134.437018,20.116657,59.605573,0.638848,0.629310,-0.442540,50.00,False
-134.221075,18.431495,57.360396,0.682037,0.629242,-0.372667,50.00,False
-134.013570,17.039591,55.175393,0.723538,0.626060,-0.290760,50.00,False
-133.830232,15.987071,53.054251,0.760205,0.619387,-0.196081,50.00,False
-133.693031,15.330492,50.991756,0.787646,0.609568,-0.089672,50.00,False
-133.627063,15.132592,48.967345,0.800839,0.598384,0.024354,50.00,False
-133.652987,15.447595,46.938246,0.795655,0.589952,0.137442,50.00,False
-133.774921,16.287666,44.831193,0.771268,0.591566,0.234939,50.00,False
-133.964123,17.564042,42.528127,0.733427,0.613269,0.293233,50.00,False
-134.146688,19.012750,39.853992,0.696914,0.661368,0.277314,50.00,False
