X,Y,Z,Normal_X,Normal_Y,Normal_Z,Feed_Rate,Is_Rapid
-47.889232,-4.756327,1.581912,-0.001370,0.992289,-0.123941,50.00,False
-47.860818,-4.444800,4.058631,0.004313,0.992422,-0.122800,50.00,False
-47.838119,-4.144160,6.542649,0.008853,0.992710,-0.120199,50.00,False
-47.835155,-3.844074,9.009203,0.009446,0.992597,-0.121090,50.00,False
-47.845744,-3.541016,11.487636,0.007328,0.992794,-0.119606,50.00,False
-47.860993,-3.246020,13.969311,0.004278,0.993067,-0.117474,50.00,False
-47.859025,-2.953823,16.455225,0.004672,0.993413,-0.114494,50.00,False
-47.847667,-2.675679,18.971865,0.006943,0.994409,-0.105368,50.00,False
-47.860382,-2.414506,21.440011,0.004400,0.994363,-0.105941,50.00,False
-47.870341,-2.152220,23.924559,0.002408,0.994654,-0.103234,50.00,False
-47.862931,-1.900483,26.429180,0.003890,0.995324,-0.096512,50.00,False
-47.843801,-1.665080,28.924836,0.007716,0.995767,-0.091584,50.00,False
-47.829598,-1.440967,31.418414,0.010557,0.996146,-0.087071,50.00,False
-47.849763,-1.229376,33.910118,0.006524,0.996534,-0.082932,50.00,False
-47.840944,-1.028468,36.417232,0.008288,0.997095,-0.075712,50.00,False
-47.842415,-0.846449,38.913444,0.007994,0.997468,-0.070672,50.00,False
-47.829941,-0.678350,41.433175,0.010488,0.998087,-0.060929,50.00,False
-47.839207,-0.534902,43.932880,0.008635,0.998439,-0.055190,50.00,False
-47.835427,-0.403701,46.429130,0.009391,0.998698,-0.050143,50.00,False
-47.849601,-0.289366,48.946662,0.006556,0.999144,-0.040839,50.00,False
-47.874571,-0.193491,51.447531,0.001562,0.999391,-0.034867,50.00,False
-47.885826,-0.116600,53.957738,-0.000689,0.999634,-0.027029,50.00,False
-47.881842,-0.056579,56.460395,0.000108,0.999786,-0.020700,50.00,False
-47.853760,-0.014426,58.976438,0.005725,0.999915,-0.011694,50.00,False
-47.856018,-0.000026,61.495588,0.005273,0.999984,-0.002066,50.00,False
-47.870804,-0.000610,63.992598,0.002316,0.999992,0.003133,50.00,False
-47.852871,-0.014822,66.490868,0.005902,0.999946,0.008585,50.00,False
-47.865433,-0.047445,69.005912,0.003390,0.999843,0.017391,50.00,False
-47.858455,-0.101546,71.519745,0.004786,0.999652,0.025955,50.00,False
-47.841481,-0.180930,74.045971,0.008180,0.999282,0.036998,50.00,False
-47.834592,-0.282126,76.541777,0.009558,0.999074,0.041957,50.00,False
-47.838065,-0.395124,79.041014,0.008864,0.998827,0.047601,50.00,False
-47.848777,-0.520780,81.545567,0.006721,0.998502,0.054309,50.00,False
-47.851337,-0.664638,84.046150,0.006209,0.998166,0.060224,50.00,False
-47.854000,-0.826511,86.562918,0.005677,0.997575,0.069375,50.00,False
-47.871456,-1.011498,89.069792,0.002185,0.997064,0.076547,50.00,False
-47.864199,-1.209523,91.566076,0.003637,0.996658,0.081601,50.00,False
-47.835853,-1.421378,94.065869,0.009306,0.996134,0.087357,50.00,False
-47.852139,-1.649384,96.569848,0.006049,0.995558,0.093951,50.00,False
-47.880647,-1.891184,99.067889,0.000347,0.995052,0.099356,50.00,False
-47.894280,-2.146132,101.558323,-0.002379,0.994654,0.103241,50.00,False
-47.894018,-2.405212,104.036322,-0.002327,0.994508,0.104638,50.00,False
-47.879587,-2.668477,106.517320,0.000559,0.994298,0.106635,50.00,False
-47.846425,-2.939448,109.005675,0.007192,0.993894,0.110103,50.00,False
-47.831668,-3.220191,111.497798,0.010143,0.993392,0.114326,50.00,False
-47.834585,-3.516340,113.999397,0.009560,0.992674,0.120443,50.00,False
-47.836876,-3.820891,116.479265,0.009101,0.992462,0.122214,50.00,False
-47.859485,-4.124330,118.949270,0.004580,0.992518,0.122012,50.00,False
-47.857201,-4.428666,121.420487,0.005036,0.992511,0.122053,50.00,False
-47.857893,-4.735509,123.905184,0.004898,0.992171,0.124790,50.00,False
-47.874885,-5.049525,126.379542,0.001500,0.992098,0.125459,50.00,False
-47.877798,-5.359349,128.842878,0.000917,0.992291,0.123924,50.00,False
-47.867847,-5.662817,131.301331,0.002907,0.992598,0.121412,50.00,False
-47.842267,-5.964882,133.771713,0.008023,0.992585,0.121286,50.00,False
-47.835712,-6.264835,136.232457,0.009334,0.992823,0.119232,50.00,False
-47.829743,-6.555528,138.694307,0.010528,0.993029,0.117400,50.00,False
-47.854501,-6.849279,141.165621,0.005576,0.993062,0.117460,50.00,False
-47.859829,-7.129529,143.602473,0.004511,0.993852,0.110628,50.00,False
-47.841484,-7.400409,146.067148,0.008180,0.993969,0.109360,50.00,False
-47.826626,-7.666650,148.510999,0.011151,0.994522,0.103928,50.00,False
-44.062068,-7.619693,148.499253,-0.035937,0.994178,0.101579,200.00,True
-44.062068,-7.619693,148.499253,-0.035937,0.994178,0.101579,50.00,False
-44.059234,-7.356817,146.069748,-0.035370,0.993315,0.109880,50.00,False
-44.056731,-7.081686,143.610749,-0.034870,0.993064,0.112283,50.00,False
-44.059403,-6.799973,141.157228,-0.035404,0.992644,0.115781,50.00,False
-44.060068,-6.510201,138.697346,-0.035537,0.992377,0.118007,50.00,False
