t,obj_temp,amb_temp,temp_ema,dTdt,planned_speed,plasma_power,standoff_mm,action,next_speed,next_power,next_standoff_mm,predicted_temp,reason
1768694162.908533,36.498345,24.0,36.498345,0.0,60.0,80.0,10.0,safe,60.0,80.0,10.0,36.498345,Selected lowest-risk action
1768694163.113584,36.15902317565441,24.0,36.39654845269632,-0.49644515007570117,60.0,80.0,10.0,safe,60.0,80.0,10.0,36.39654845269632,Selected lowest-risk action
1768694163.3177118,35.831636701040935,24.0,36.22707492719971,-0.8302325063416399,60.0,80.0,10.0,safe,60.0,80.0,10.0,36.22707492719971,Selected lowest-risk action
1768694163.522769,35.5128253985304,24.0,36.012800068598914,-1.0449519302206682,60.0,80.0,10.0,safe,60.0,80.0,10.0,36.012800068598914,Selected lowest-risk action
1768694163.7278101,35.20384577368432,24.0,35.77011378012453,-1.1835978517488284,60.0,80.0,10.0,safe,60.0,80.0,10.0,35.77011378012453,Selected lowest-risk action
1768694163.93286,34.90435275841457,24.0,35.51038547361154,-1.2666599323993395,60.0,80.0,10.0,safe,60.0,80.0,10.0,35.51038547361154,Selected lowest-risk action
1768694164.135372,34.61766635648997,24.0,35.24256973847507,-1.3224683029794666,60.0,80.0,10.0,safe,60.0,80.0,10.0,35.24256973847507,Selected lowest-risk action
1768694164.3404238,34.3362002406017,24.0,34.970658889113054,-1.3260586746381013,60.0,80.0,10.0,safe,60.0,80.0,10.0,34.970658889113054,Selected lowest-risk action
1768694164.5440798,34.06524738202291,24.0,34.69903543698601,-1.333736830290828,60.0,80.0,10.0,safe,60.0,80.0,10.0,34.69903543698601,Selected lowest-risk action
1768694164.749123,33.80078823184463,24.0,34.42956127544359,-1.3142304121258666,60.0,80.0,10.0,safe,60.0,80.0,10.0,34.42956127544359,Selected lowest-risk action
1768694164.950932,33.54850291115531,24.0,34.165243766157104,-1.309741397546384,60.0,80.0,10.0,safe,60.0,80.0,10.0,34.165243766157104,Selected lowest-risk action
1768694165.152052,33.30469019686249,24.0,33.90707769536872,-1.283642598815971,60.0,80.0,10.0,safe,60.0,80.0,10.0,33.90707769536872,Selected lowest-risk action
1768694165.3530738,33.06835027057582,24.0,33.65545946793085,-1.2516955380444723,60.0,80.0,10.0,safe,60.0,80.0,10.0,33.65545946793085,Selected lowest-risk action
1768694165.556059,32.83689523798529,24.0,33.40989019894718,-1.2097899379658028,60.0,80.0,10.0,safe,60.0,80.0,10.0,33.40989019894718,Selected lowest-risk action
1768694165.7585979,32.612981202050506,24.0,33.170817499878176,-1.1803787807040838,60.0,80.0,10.0,safe,60.0,80.0,10.0,33.170817499878176,Selected lowest-risk action
1768694165.963639,32.39318713117678,24.0,32.937528389267754,-1.137767163899899,60.0,80.0,10.0,safe,60.0,80.0,10.0,32.937528389267754,Selected lowest-risk action
1768694166.168691,32.18014344815069,24.0,32.71031290693263,-1.1080876767864047,60.0,80.0,10.0,safe,60.0,80.0,10.0,32.71031290693263,Selected lowest-risk action
1768694166.372978,31.974421030570532,24.0,32.489545344023995,-1.0806733005360787,60.0,80.0,10.0,safe,60.0,80.0,10.0,32.489545344023995,Selected lowest-risk action
1768694166.5753531,31.776871239142476,24.0,32.27574311255954,-1.0564647219034984,60.0,80.0,10.0,safe,60.0,80.0,10.0,32.27574311255954,Selected lowest-risk action
1768694166.780133,31.58303968627351,24.0,32.06793208467373,-1.0148020634381134,60.0,80.0,10.0,safe,60.0,80.0,10.0,32.06793208467373,Selected lowest-risk action
1768694166.98518,31.394917100730904,24.0,31.86602758949088,-0.9846747397627308,60.0,80.0,10.0,safe,60.0,80.0,10.0,31.86602758949088,Selected lowest-risk action
1768694167.187904,31.21464838246466,24.0,31.670613827383015,-0.9639400437782899,60.0,80.0,10.0,safe,60.0,80.0,10.0,31.670613827383015,Selected lowest-risk action
1768694167.3930051,31.03781085141402,24.0,31.480772934592313,-0.9255959742212069,60.0,80.0,10.0,safe,60.0,80.0,10.0,31.480772934592313,Selected lowest-risk action
1768694167.598104,30.866415347798622,24.0,31.296465658554204,-0.8986264934556495,60.0,80.0,10.0,safe,60.0,80.0,10.0,31.296465658554204,Selected lowest-risk action
1768694167.80208,30.701202545361927,24.0,31.11788672459652,-0.8754902909102138,60.0,80.0,10.0,safe,60.0,80.0,10.0,31.11788672459652,Selected lowest-risk action
1768694168.007195,30.54015020862812,24.0,30.944565769805997,-0.844993722022408,60.0,80.0,10.0,safe,60.0,80.0,10.0,30.944565769805997,Selected lowest-risk action
1768694168.2076259,30.387617800548483,24.0,30.777481379028742,-0.8336260314114535,60.0,80.0,10.0,safe,60.0,80.0,10.0,30.777481379028742,Selected lowest-risk action
1768694168.41266,30.236275555210053,24.0,30.615119631883132,-0.791877119102091,60.0,80.0,10.0,safe,60.0,80.0,10.0,30.615119631883132,Selected lowest-risk action
1768694168.61771,30.08957363352688,24.0,30.457455832376255,-0.768903304749758,60.0,80.0,10.0,safe,60.0,80.0,10.0,30.457455832376255,Selected lowest-risk action
1768694168.820844,29.948712989086932,24.0,30.30483297938946,-0.7513414155714183,60.0,80.0,10.0,safe,60.0,80.0,10.0,30.30483297938946,Selected lowest-risk action
1768694169.025953,29.81081558089814,24.0,30.15662775984206,-0.7225676750497354,60.0,80.0,10.0,safe,60.0,80.0,10.0,30.15662775984206,Selected lowest-risk action
